Timestamp,EstadoClasificado,Subsistema,DestinoRed,NeuralEngineActivo,TiempoRespuestaMs,Consulta,MensajeSistemaCrudo
2026-09-20 20:33:08.358,"Nube de Apple y Búsqueda Web","com.apple.pegasuskit","Sin conexiones activas",false,57170,"Running Availability CTS Task - com.apple.GenerativeFunctions.PeriodicTasks.Repo","[<private>] gRPC client for <private> has completed."
2026-09-20 20:33:02.718,"Nube de Apple y Búsqueda Web","com.apple.parsecd","Sin conexiones activas",false,52645,"Running Availability CTS Task - com.apple.GenerativeFunctions.PeriodicTasks.Repo","timing out idle xpc transaction: <private> from 31499"
2026-09-20 20:32:52.443,"Privado — todo en tu Mac","com.apple.generativeexperiencesruntime","Sin conexiones activas",false,41293,"Running Availability CTS Task - com.apple.GenerativeFunctions.PeriodicTasks.Repo","[End] AvailabilityReporter.reportCurrentAvailabilityState()"
2026-09-20 20:32:52.437,"Privado — todo en tu Mac","com.apple.generativeexperiencesruntime","Sin conexiones activas",false,41293,"Running Availability CTS Task - com.apple.GenerativeFunctions.PeriodicTasks.Repo","[Start] AvailabilityReporter.reportCurrentAvailabilityState()"
2026-09-20 20:32:52.437,"Privado — todo en tu Mac","com.apple.generativeexperiencesruntime","Sin conexiones activas",false,41293,"Running Availability CTS Task - com.apple.GenerativeFunctions.PeriodicTasks.Repo","Running Availability CTS Task - com.apple.GenerativeFunctions.PeriodicTasks.ReportAvailabilityTask.Daily"
2026-09-20 20:32:52.436,"Privado — todo en tu Mac","com.apple.generativeexperiencesruntime","Sin conexiones activas",false,41292,"PeriodicTask: Running task for com.apple.GenerativeFunctions.PeriodicTasks.Repor","PeriodicTask: Running task for com.apple.GenerativeFunctions.PeriodicTasks.ReportAvailabilityTask.Daily with priority TaskPriority.background"
2026-09-20 20:32:38.297,"Privado — todo en tu Mac","com.apple.siri","Sin conexiones activas",false,27454,"Inferring originatingProcess to be identical to onBehalfOfProcess","-[CampoUISiriChatPresentationController _scheduleAudioResumptionAfterDelayInSec:]_block_invoke Resuming interrupted audio"
2026-09-20 20:32:38.297,"Privado — todo en tu Mac","com.apple.siri","Sin conexiones activas",false,27454,"Inferring originatingProcess to be identical to onBehalfOfProcess","-[CampoUISiriChatPresentationController _isSiriIdleAndQuiet] #idle YES - inIdleState:1 requestActive:0 speaking:0 audioPlaying:0 waitingForStartRequest:0 delayingSessionEndForInPlacePunchout:0"
2026-09-20 20:32:37.475,"Privado — todo en tu Mac","com.apple.siri","Sin conexiones activas",false,27450,"Inferring originatingProcess to be identical to onBehalfOfProcess","-[SRUIFSpeechSynthesizer stopStream:] #tts [stopStream] No stream found in task queue for streamId: <private>, dispatching completion"
2026-09-20 20:32:37.475,"Privado — todo en tu Mac","com.apple.siri","Sin conexiones activas",false,27450,"Inferring originatingProcess to be identical to onBehalfOfProcess","-[SRUIFSpeechSynthesizer stopStream:] #tts [stopStream] No active stream found for streamId: <private>"
2026-09-20 20:32:37.409,"Privado — todo en tu Mac","com.apple.siri","Sin conexiones activas",false,27449,"Inferring originatingProcess to be identical to onBehalfOfProcess","-[CampoUISiriChatPresentationController siriSessionDidReceiveAddViewsCommand:completion:] Received an empty SAUIAssistantUtteranceView with no dialog from a SAUIAddViews with aceID:<private> refID:<private>. Marking command as SACommandSucceeded"
